subject,setSize,targetCol,distractorCol,mouse.time
86,5,black,black,1.1267
87,20,black,black,0.9499
87,5,black,black,1.3069
87,5,black,black,1.174
87,20,black,black,0.9599
87,20,black,black,1.5937
87,20,black,black,1.4467
87,5,black,black,0.6913
87,20,red,black,0.9603
87,5,black,black,0.5932
87,5,black,black,0.9424
88,20,black,black,3.3852
88,20,black,black,3.2431
88,5,black,black,1.1239
88,5,black,black,0.5905
88,5,black,black,1.1419
88,20,black,black,1.2928
88,5,black,black,0.7585
88,5,black,black,0.7256
88,20,black,black,3.2607
88,20,red,black,0.6417
89,5,black,black,1.466
89,20,black,black,2.404
89,5,black,black,0.986
89,5,black,black,1.092
89,20,black,black,1.119
89,5,black,black,0.992
89,5,black,black,1.187
89,20,red,black,0.969
89,20,black,black,0.792
89,20,black,black,1.21
90,5,black,black,2.7202
90,5,black,black,0.8932
90,20,black,black,0.7606
90,5,black,black,0.8107
90,20,black,black,1.0916
90,20,red,black,0.9285
90,20,black,black,3.2448
90,5,black,black,0.9115
90,20,black,black,1.0948
90,5,black,black,0.9447
91,5,black,black,13.614
91,20,black,black,3.083
91,5,black,black,1.217
91,20,black,black,2.107
91,20,black,black,2.642
91,20,black,black,1.391
91,5,black,black,1.139
91,5,black,black,1.593
92,5,black,black,8.74329
92,5,black,black,2.777105
92,5,black,black,1.4608
92,20,black,black,2.14505
92,5,black,black,2.043615
92,20,black,black,6.649155
92,20,red,black,1.21041
92,20,black,black,3.11484
92,5,black,black,0.74677
92,20,black,black,2.380155
93,20,red,black,1.2569
93,5,black,black,2.0285
93,20,black,black,4.4824
93,20,black,black,1.7145
93,5,black,black,1.6483
93,20,black,black,2.4296
93,20,black,black,3.1868
93,5,black,black,1.5935
93,5,black,black,2.1923
93,5,black,black,1.6913
94,5,black,black,1.0267
94,5,black,black,0.8507
94,5,black,black,0.9068
94,20,red,black,0.6396
94,20,black,black,0.869
94,5,black,black,0.492
94,5,black,black,0.6408
94,20,black,black,0.8693
94,20,black,black,2.9779
94,20,black,black,0.8411
95,20,black,black,2.1568
95,5,black,black,1.1607
95,20,black,black,1.2977
95,5,black,black,1.1753
95,20,red,black,1.2312
95,5,black,black,0.8752
95,5,black,black,0.7448
95,20,black,black,1.8644
95,5,black,black,1.0448
95,20,black,black,1.0645
96,5,black,black,1.379
96,5,black,black,1.2918
96,5,black,black,1.1591
96,5,black,black,0.7242
96,20,black,black,1.8437
96,20,red,black,0.9922
96,5,black,black,0.9427
96,20,black,black,4.9803
96,20,black,black,2.7443
96,20,black,black,1.2929
97,20,black,black,2.421
97,5,black,black,1.176
97,5,black,black,1.165
97,5,black,black,1.102
97,5,black,black,1.097
97,20,black,black,0.919
97,20,black,black,2.634
97,20,black,black,0.932
97,20,red,black,0.97
97,5,black,black,0.967
98,5,black,black,4.5389
98,5,black,black,1.8833
98,5,black,black,1.8021
98,20,black,black,4.7182
98,5,black,black,1.8014
98,20,black,black,3.6827
98,20,red,black,1.9656
99,20,black,black,17.4152
99,5,black,black,1.8405
99,5,black,black,0.9919
99,5,black,black,1.2925
99,5,black,black,1.0749
99,20,black,black,1.5252
99,20,red,black,0.9917
99,20,black,black,1.7595
99,5,black,black,1.1757
99,20,black,black,1.4421
101,20,black,black,4.5118
101,20,black,black,1.6913
101,5,black,black,1.4127
101,20,black,black,1.7103
101,5,black,black,1.2915
101,5,black,black,1.1142
101,20,black,black,1.109
101,5,black,black,1.145
101,5,black,black,1.6235
101,20,red,black,1.0196
102,20,red,black,1.242
102,5,black,black,1.3357
102,20,black,black,2.1198
102,20,black,black,1.87
102,5,black,black,1.2227
102,5,black,black,0.9834
102,5,black,black,0.8192
102,20,black,black,1.638
102,5,black,black,0.9865
102,20,black,black,1.6215
103,5,black,black,1.737
103,20,black,black,4.767
103,5,black,black,1.64
103,20,black,black,5.849
103,20,black,black,2.252
103,20,black,black,0.058
103,5,black,black,1.022
103,5,black,black,1.719
103,5,black,black,2.107
103,20,red,black,3.652
104,5,black,black,1.6254
104,20,black,black,1.4093
104,5,black,black,1.1245
104,5,black,black,1.5698
104,20,black,black,2.2429
104,20,black,black,2.5606
104,5,black,black,1.4211
104,20,red,black,1.1163
104,5,black,black,1.9189
104,20,black,black,1.422
105,20,black,black,1.926
106,5,black,black,0.484
106,20,black,black,0.706
106,5,black,black,0.073
106,20,black,black,873.371
107,20,black,black,10.7534
108,20,black,black,37.6267
108,20,black,black,7.2832
108,5,black,black,1.2858
108,5,black,black,2.4103
108,5,black,black,1.8957
108,20,black,black,2.5145
108,20,red,black,1.5775
108,5,black,black,1.7247
108,5,black,black,1.5289
108,20,black,black,3.4093
109,5,black,black,1.5243
109,5,black,black,5.7204
109,20,red,black,2.217
111,20,black,black,1.142
111,20,black,black,1.083
111,20,black,black,1.503
111,20,black,black,4.159
111,5,black,black,1.295
111,5,black,black,0.954
111,20,blue,black,0.994
