condition,subject,block,acc_mean,rt_mean
delay,118,11,0.52,0.57979636
delay,118,12,0.52,0.57604768
delay,118,13,0.52,0.63467976
delay,118,14,0.48,0.53338156
delay,118,15,0.72,0.60016688
delay,118,16,0.44,0.60476584
delay,118,17,0.52,0.714508
delay,118,18,0.56,0.76280108
delay,118,19,0.56,0.87038216
delay,118,20,0.72,0.88876316
delay,118,21,0.64,0.62854468
delay,118,22,0.52,0.51100396
delay,118,23,0.56,0.23077184
delay,118,24,0.48,0.31074636
delay,119,1,0.72,1.82383396
delay,119,2,0.8,1.56137428
delay,119,3,0.84,1.43340012
delay,119,4,0.84,1.58959976
delay,119,5,1,1.23312068
delay,119,6,0.96,1.2336342
delay,119,7,0.92,1.28349832
delay,119,8,0.92,1.26436704
delay,119,9,0.96,1.39137588
delay,119,10,0.96,1.61842044
delay,119,11,0.96,1.43146224
delay,119,12,0.92,1.48358696
delay,119,13,1,1.3456662
delay,119,14,0.92,1.41636084
delay,119,15,0.96,1.51861584
delay,119,16,1,1.47987004
delay,119,17,0.92,1.14025792
delay,119,18,0.92,0.99968872
delay,119,19,0.8,0.95613268
delay,119,20,0.96,1.12270796
delay,119,21,0.84,0.83731892
delay,119,22,0.84,1.18874028
delay,119,23,0.84,0.7864724
delay,119,24,0.84,0.91126328
delay,120,1,0.44,2.09343276
delay,120,2,0.92,1.4264706
delay,120,3,0.92,1.38419964
delay,120,4,0.84,1.30029324
delay,120,5,0.92,1.24786248
delay,120,6,0.92,1.22419264
delay,120,7,0.92,1.165772
delay,120,8,0.92,1.25193776
delay,120,9,0.92,1.30369516
delay,120,10,1,1.084018
delay,120,11,1,1.09341184
delay,120,12,1,0.89472688
delay,120,13,0.96,1.048326
delay,120,14,0.84,1.2254022
delay,120,15,1,1.18941216
delay,120,16,1,1.06670432
delay,120,17,0.96,1.19895828
delay,120,18,0.92,1.23274612
delay,120,19,0.88,0.95157576
delay,120,20,0.88,1.1041892
delay,120,21,0.76,1.125044
delay,120,22,0.84,1.10410612
delay,120,23,0.72,1.10815936
delay,120,24,0.96,0.85440912
delay,121,1,0.68,1.6817938
delay,121,2,0.84,1.2737786
delay,121,3,0.88,1.50144692
delay,121,4,0.96,1.2343372
delay,121,5,0.92,1.28100644
delay,121,6,0.88,1.3203578
delay,121,7,0.96,1.10289732
delay,121,8,0.88,1.47557656
delay,121,9,0.96,1.35197572
delay,121,10,0.92,1.04429356
delay,121,11,0.88,1.2012298
delay,121,12,0.84,1.33515548
delay,121,13,0.96,1.15411692
delay,121,14,0.92,1.43212348
delay,121,15,0.92,1.20317852
delay,121,16,0.92,1.426424
delay,121,17,0.96,1.11731736
delay,121,18,0.92,0.9672126
delay,121,19,0.92,1.03578664
delay,121,20,0.88,0.90138092
delay,121,21,0.76,0.88243944
delay,121,22,0.92,0.91213116
delay,121,23,0.96,0.9522178
delay,121,24,0.68,1.14112848
delay,122,1,0.72,1.9462054
delay,122,2,0.84,1.01242988
delay,122,3,0.92,0.92720716
delay,122,4,1,1.05651196
delay,122,5,0.92,1.006471
delay,122,6,0.84,0.95941824
delay,122,7,0.96,1.02410016
delay,122,8,0.84,1.03457516
delay,122,9,0.84,1.01559236
delay,122,10,0.92,1.01558932
delay,122,11,0.96,1.05397816
delay,122,12,0.96,1.2097422
delay,122,13,0.96,0.97341936
delay,122,14,1,1.0222006
delay,122,15,0.92,0.8995164
delay,122,16,0.92,0.96466548
delay,122,17,0.84,1.07086916
delay,122,18,0.88,0.80200112
delay,122,19,0.92,0.7283552
delay,122,20,0.92,0.79063244
delay,122,21,1,0.74174484
delay,122,22,0.8,0.82798528
delay,122,23,0.92,0.65013416
delay,122,24,0.84,0.83881096
delay,123,1,0.4,1.78046048
delay,123,2,0.76,1.6327916
delay,123,3,0.88,1.53816432
delay,123,4,0.84,1.7437302
delay,123,5,1,1.4938884
delay,123,6,1,1.49629576
delay,123,7,0.96,1.66126168
delay,123,8,0.92,1.39399196
delay,123,9,0.92,1.8080052
delay,123,10,0.96,1.36898088
delay,123,11,1,1.3042318
delay,123,12,0.88,1.82127376
delay,123,13,1,1.13049164
delay,123,14,0.88,1.21218792
delay,123,15,0.96,1.19819612
delay,123,16,0.96,1.38289496
delay,123,17,0.84,1.0824362
delay,123,18,0.96,0.87331732
delay,123,19,0.84,0.90155256
delay,123,20,0.92,0.83007464
delay,123,21,0.76,0.92002152
delay,123,22,0.84,0.71703268
delay,123,23,0.64,0.87457452
delay,123,24,0.84,0.84026248
delay,124,1,0.8,1.48985356
delay,124,2,0.88,1.30245952
delay,124,3,0.96,1.07367348
delay,124,4,0.96,1.01279348
delay,124,5,0.96,1.0449942
delay,124,6,0.88,1.06091416
delay,124,7,0.88,1.12236324
delay,124,8,0.88,1.09746628
delay,124,9,1,0.86363516
delay,124,10,0.96,0.95963752
delay,124,11,0.96,1.0868722
delay,124,12,0.8,1.22478096
delay,124,13,0.88,1.11938304
delay,124,14,0.88,1.17259304
delay,124,15,0.84,1.1833206
delay,124,16,0.96,1.17221348
delay,124,17,0.8,1.3259784
delay,124,18,0.72,1.360165
delay,124,19,0.56,1.13220912
delay,124,20,0.84,1.442175
delay,124,21,0.84,1.26075144
delay,124,22,0.92,1.28052256
delay,124,23,0.84,1.14543984
delay,124,24,0.72,1.67585668
delay,125,1,0.76,1.61126656
delay,125,2,0.96,0.97741136
delay,125,3,0.88,1.08981412
delay,125,4,0.88,1.04133696
delay,125,5,0.96,0.92034972
delay,125,6,0.92,0.938796
delay,125,7,1,0.90279752
delay,125,8,0.84,0.96074956
delay,125,9,1,0.85409536
delay,125,10,1,0.88549256
delay,125,11,0.96,0.85144332
delay,125,12,0.96,0.85174672
delay,125,13,1,1.0046622
delay,125,14,0.96,1.11986492
delay,125,15,0.92,0.97714504
delay,125,16,1,0.9235662
delay,125,17,0.92,1.07811196
delay,125,18,0.92,1.0471716
delay,125,19,0.92,0.81827256
delay,125,20,0.84,0.82946712
delay,125,21,0.88,0.82079536
delay,125,22,0.96,0.7138236
delay,125,23,0.96,0.65706904
delay,125,24,0.92,0.67737368
delay,126,1,0.88,1.41781728
delay,126,2,0.88,1.24081648
delay,126,3,0.92,1.23666276
delay,126,4,0.64,1.17505256
delay,126,5,0.84,0.913587
delay,126,6,0.84,1.0679786
delay,126,7,0.88,1.08418676
delay,126,8,0.96,1.05031744
delay,126,9,0.8,0.87182196
delay,126,10,0.8,0.9891512
delay,126,11,0.64,0.99871312
delay,126,12,0.76,0.99159104
delay,126,13,0.68,0.93906476
delay,126,14,0.72,0.8772698
delay,126,15,0.8,0.87586624
delay,126,16,0.68,0.95062356
delay,126,17,0.68,0.83004252
delay,126,18,0.56,0.88982972
delay,126,19,0.76,0.71923964
delay,126,20,0.72,0.81084976
delay,126,21,0.8,0.6459924
delay,126,22,0.76,0.88457284
delay,126,23,0.72,1.04102272
delay,126,24,0.8,0.94388092
delay,127,1,0.56,1.64121856
delay,127,2,0.76,1.47019564
delay,127,3,0.76,1.68545784
delay,127,4,0.84,1.6752924
delay,127,5,0.92,1.38531752
delay,127,6,0.96,1.38512536
delay,127,7,0.96,1.35164532
delay,127,8,0.96,1.20519672
delay,127,9,0.96,1.18586232
delay,127,10,1,1.2949788
delay,127,11,1,1.20199808
delay,127,12,0.96,1.33741052
delay,127,13,0.84,1.20945548
delay,127,14,1,1.56197488
delay,127,15,1,1.1432316
delay,127,16,0.96,1.23071948
delay,127,17,0.68,1.57550848
delay,127,18,0.56,1.27077548
delay,127,19,0.8,1.27532756
delay,127,20,0.8,1.23501348
delay,127,21,0.72,1.19445416
delay,127,22,0.88,1.28463124
delay,127,23,0.64,1.4381168
delay,127,24,0.8,1.33112612
delay,128,1,0.68,1.73004268
delay,128,2,0.76,1.79293432
delay,128,3,0.56,1.71470464
delay,128,4,0.64,1.11664524
delay,128,5,0.92,1.41895556
delay,128,6,0.64,1.49127772
delay,128,7,0.76,1.2430334
delay,128,8,0.84,1.47920164
delay,128,9,0.96,1.2844526
delay,128,10,0.84,1.37552208
delay,128,11,0.76,1.30466496
delay,128,12,0.76,1.48197884
delay,128,13,0.76,1.52042056
delay,128,14,0.84,1.48435944
delay,128,15,0.8,1.70552348
delay,128,16,0.76,1.6556228
delay,128,17,0.72,1.11570972
delay,128,18,0.8,0.903881
delay,128,19,0.6,0.6908446
delay,128,20,0.44,0.59888576
delay,128,21,0.72,0.77842108
delay,128,22,0.6,0.845739
delay,128,23,0.56,0.65968836
delay,128,24,0.44,0.62356256
delay,129,1,0.92,1.630699
delay,129,2,0.92,1.59969228
delay,129,3,0.88,1.3611266
delay,129,4,0.96,1.01563736
delay,129,5,0.88,1.10923592
delay,129,6,0.96,1.131298
delay,129,7,1,1.22628096
delay,129,8,0.96,1.32460324
delay,129,9,0.96,1.2598542
delay,129,10,0.92,1.177549
delay,129,11,1,1.19958092
delay,129,12,0.96,1.18998032
delay,129,13,1,1.46722408
delay,129,14,0.92,1.3732054
delay,129,15,1,1.44581616
delay,129,16,1,1.2712916
delay,129,17,1,1.20193032
delay,129,18,1,0.92945016
delay,129,19,0.96,0.88843564
delay,129,20,0.96,0.79731028
delay,129,21,0.88,0.78047196
delay,129,22,0.92,0.79914472
delay,129,23,0.88,0.885824
delay,129,24,0.96,0.80753556
delay,130,1,0.88,1.87220016
delay,130,2,0.92,1.4465956
delay,130,3,0.88,1.35708844
delay,130,4,0.92,1.19128924
delay,130,5,0.96,1.36646944
delay,130,6,0.92,1.49479832
delay,130,7,0.92,1.31965096
delay,130,8,0.96,1.19833584
delay,130,9,0.96,1.28211684
delay,130,10,0.92,1.43039084
delay,130,11,0.96,1.03027128
delay,130,12,0.8,1.02209616
delay,130,13,0.96,1.21453696
delay,130,14,1,1.19421296
delay,130,15,0.92,1.16123396
delay,130,16,0.84,1.27853492
delay,130,17,0.84,1.3033458
delay,130,18,0.88,1.00454844
delay,130,19,0.84,1.17380316
delay,130,20,0.92,0.95516672
delay,130,21,0.84,0.83299052
delay,130,22,1,0.82383468
delay,130,23,0.96,0.97170868
delay,130,24,0.92,0.92467076
immed,201,1,0.6,1.11794124
immed,201,2,0.76,0.73974252
immed,201,3,0.88,0.88303596
immed,201,4,0.68,0.86830656
immed,201,5,0.84,0.74448972
immed,201,6,0.88,0.8437408
immed,201,7,0.72,0.83221032
immed,201,8,0.8,0.81459176
immed,201,9,0.8,0.91740568
immed,201,10,0.92,0.87167848
immed,201,11,0.88,0.77410408
immed,201,12,0.84,0.98616228
immed,201,13,0.92,0.88295316
immed,201,14,0.88,0.78628796
immed,201,15,0.96,0.8628168
immed,201,16,1,0.78295652
immed,201,17,0.88,0.65003088
immed,201,18,0.76,0.76406676
immed,201,19,0.88,0.68725136
immed,201,20,0.84,0.71337568
immed,201,21,0.96,0.6381918
immed,201,22,0.8,0.65894184
immed,201,23,0.92,0.69449804
immed,201,24,0.96,0.62562888
immed,202,1,0.48,1.24381188
immed,202,2,0.68,1.26483384
immed,202,3,0.64,1.03495856
immed,202,4,0.96,1.1570624
immed,202,5,0.68,1.14661412
immed,202,6,0.92,1.02388784
immed,202,7,0.76,1.05942732
immed,202,8,0.8,1.10820428
immed,202,9,0.84,0.99627044
immed,202,10,0.92,1.29835828
immed,202,11,0.84,1.19815404
immed,202,12,0.76,1.14155024
immed,202,13,0.76,1.27677456
immed,202,14,0.8,1.22782332
immed,202,15,0.8,1.06242748
immed,202,16,0.92,0.9029494
immed,202,17,0.8,1.2074978
immed,202,18,0.68,1.58625648
immed,202,19,0.6,1.63971608
immed,202,20,0.64,1.55672644
immed,202,21,0.76,1.1108222
immed,202,22,0.76,0.96614
immed,202,23,0.56,1.15424044
immed,202,24,0.76,1.12834168
immed,203,1,0.84,1.49195648
immed,203,2,0.92,1.14096188
immed,203,3,0.8,0.90166776
immed,203,4,0.92,1.18067588
immed,203,5,0.96,1.05711416
immed,203,6,0.8,1.15045212
immed,203,7,0.96,0.87678288
immed,203,8,1,1.00032552
immed,203,9,0.84,0.85680596
immed,203,10,0.96,0.93136972
immed,203,11,1,0.87760572
immed,203,12,0.88,0.91633564
immed,203,13,0.96,0.8849916
immed,203,14,1,0.86408676
immed,203,15,1,1.06930052
immed,203,16,1,0.9577518
immed,203,17,0.96,0.78006608
immed,203,18,0.92,0.7370512
immed,203,19,0.92,0.72823536
immed,203,20,0.92,0.6384164
immed,203,21,0.92,0.6841054
immed,203,22,0.96,0.7959236
immed,203,23,0.84,0.77997532
immed,203,24,0.92,0.76390516
immed,204,1,0.68,1.64896616
immed,204,2,0.6,1.54053624
immed,204,3,0.8,1.0624768
immed,204,4,0.56,1.10720956
immed,204,5,0.44,0.99735628
immed,204,6,0.8,1.32630296
immed,204,7,0.48,0.97053216
immed,204,8,0.72,1.14391096
immed,204,9,0.8,1.17999764
immed,204,10,0.44,1.12023084
immed,204,11,0.88,0.9327834
immed,204,12,0.52,0.89621224
immed,204,13,0.76,1.00802768
immed,204,14,0.56,1.27418112
immed,204,15,0.88,1.09047484
immed,204,16,0.52,1.03916944
immed,204,17,0.76,0.84337152
immed,204,18,0.76,0.94865276
immed,204,19,0.68,1.03153064
immed,204,20,0.56,0.66053704
immed,204,21,0.52,0.52094788
immed,204,22,0.6,0.47450572
immed,204,23,0.4,0.39467436
immed,204,24,0.56,0.61369196
immed,205,1,0.96,1.29476828
immed,205,2,0.88,1.38952896
immed,205,3,0.8,1.079433
immed,205,4,0.92,1.1526294
immed,205,5,0.92,0.93895484
immed,205,6,0.84,1.061673
immed,205,7,1,1.20394152
immed,205,8,0.96,1.1937574
immed,205,9,1,1.09449408
immed,205,10,0.92,1.27960652
immed,205,11,0.96,1.38601364
immed,205,12,1,1.24251152
immed,205,13,0.92,1.18499244
immed,205,14,0.96,1.01954584
immed,205,15,0.84,1.08475008
immed,205,16,1,1.22331664
