keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,1.727,,,,,,,,0.627,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,6,6,0,1
v,1,1.625,,,,,,,,0.525,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,7,7,5,1
v,1,2.127,,,,,,,,0.627,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,8,8,2,1
v,1,1.961,,,,,,,,0.461,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,0,9,2,1
c,1,1.949,,,,,,,,0.649,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,1,10,3,1
v,1,1.899,,,,,,,,0.599,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,2,11,8,1
b,1,2.06,,,,,,,,0.56,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,3,12,4,1
c,1,1.611,,,,,,,,0.511,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,4,13,0,1
v,1,1.527,,,,,,,,0.427,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,5,14,5,1
b,1,1.546,,,,,,,,0.446,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,6,15,7,1
b,0,1.979,,,,,,,,0.479,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,7,16,6,1
b,1,1.927,,,,,,,,0.627,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-04_18h34.13.427,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,8,17,1,1
