keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,5.44,,,,,,,,4.14,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,1,1,8,1
c,0,3.578,,,,,,,,2.278,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,2,2,1,1
v,1,6.672,,,,,,,,5.572,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,3,3,5,1
b,1,3.014,,,,,,,,1.914,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,4,4,7,1
b,1,2.117,,,,,,,,0.617,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,5,5,4,1
c,1,2.254,,,,,,,,0.754,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,6,6,6,1
b,0,5.943,,,,,,,,4.443,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,7,7,2,1
b,0,4.521,,,,,,,,3.221,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,0,8,8,3,1
c,1,2.447,,,,,,,,0.947,,,,,,,1.5,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,0,9,6,1
c,1,1.968,,,,,,,,0.868,,,,,,,1.1,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,1,10,0,1
v,1,2.2,,,,,,,,0.9,,,,,,,1.3,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,2,11,8,1
v,1,2.102,,,,,,,,0.602,,,,,,,1.5,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,3,12,2,1
c,1,2.804,,,,,,,,1.504,,,,,,,1.3,images/target_cross.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,4,13,3,1
v,1,1.81,,,,,,,,0.71,,,,,,,1.1,images/target_square.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,5,14,5,1
b,1,1.9,,,,,,,,0.6,,,,,,,1.3,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,6,15,1,1
c,0,2.018,,,,,,,,0.518,,,,,,,1.5,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,7,16,4,1
c,0,1.749,,,,,,,,0.649,,,,,,,1.1,images/target_plus.jpg,000,001,2022-04-01_22h18.04.425,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,1,8,17,7,1
