fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.6,right,1,0.4475,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,39,39,38,1,,,,,
0.8,left,1,0.7053,,,,,,stim/both.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,40,40,17,1,,,,,
1.55,left,1,0.581,,,,,,stim/both.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,41,41,1,1,,,,,
0.95,left,1,0.4811,,,,,,stim/both.png,stim/neutralRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,42,42,45,1,,,,,
1.55,left,1,0.6161,,,,,,stim/blank.png,stim/incongRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,43,43,31,1,,,,,
1.5,right,1,0.5638,,,,,,stim/centre.png,stim/neutralRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,44,44,42,1,,,,,
1.45,right,1,0.6023,,,,,,stim/upper.png,stim/incongRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,45,45,24,1,,,,,
0.65,left,1,0.5035,,,,,,stim/centre.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,46,46,2,1,,,,,
1.4,right,1,0.7351,,,,,,stim/blank.png,stim/incongRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,0,47,47,27,1,,,,,
1.4,right,1,0.531,,,,,,stim/centre.png,stim/neutralRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,0,48,42,1,,,,,
1.4,right,1,0.5085,,,,,,stim/both.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,1,49,9,1,,,,,
0.8,right,1,0.4724,,,,,,stim/lower.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,2,50,4,1,,,,,
0.45,right,1,0.591,,,,,,stim/both.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,3,51,37,1,,,,,
0.55,right,1,0.534,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,4,52,38,1,,,,,
0.6,right,1,0.6403,,,,,,stim/centre.png,stim/congRight.png,right,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,5,53,10,1,,,,,
1.1,left,1,0.5526,,,,,,stim/lower.png,stim/neutralRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,6,54,44,1,,,,,
0.95,left,1,0.5682,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,7,55,35,1,,,,,
1.45,right,1,0.48,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,8,56,36,1,,,,,
0.7,right,1,0.6339,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,9,57,23,1,,,,,
0.7,left,1,0.4472,,,,,,stim/lower.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,10,58,12,1,,,,,
1.15,right,1,0.5649,,,,,,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,11,59,20,1,,,,,
1.05,left,1,0.488,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,12,60,34,1,,,,,
0.95,right,1,0.4422,,,,,,stim/blank.png,stim/congLeft.png,right,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,13,61,7,1,,,,,
0.95,left,1,0.4981,,,,,,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,14,62,16,1,,,,,
0.95,left,1,0.4386,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,15,63,13,1,,,,,
0.95,left,1,0.5435,,,,,,stim/blank.png,stim/incongRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,16,64,31,1,,,,,
0.65,left,1,0.4243,,,,,,stim/blank.png,stim/congRight.png,left,180,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,17,65,15,1,,,,,
1,left,1,0.4374,,,,,,stim/upper.png,stim/congLeft.png,left,0,,001,2022-04-26_01h03.59.284,ANT,2021.2.3,Win32,59.70862193,,,1,18,66,0,1,,,,,
