fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.75,right,1,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6168,,,0,26,26,39,1,,,,,
0.95,left,1,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5829,,,0,27,27,34,1,,,,,
0.5,left,1,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6531,,,0,28,28,32,1,,,,,
1.3,right,1,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6854,,,0,29,29,38,1,,,,,
0.5,right,1,,,,,,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6838,,,0,30,30,20,1,,,,,
0.55,left,1,,,,,,stim/lower.png,stim/incongRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6893,,,0,31,31,28,1,,,,,
1,right,1,,,,,,stim/upper.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5841,,,0,32,32,8,1,,,,,
1.15,left,1,,,,,,stim/both.png,stim/neutralRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7157,,,0,33,33,45,1,,,,,
1.3,left,1,,,,,,stim/both.png,stim/incongRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6836,,,0,34,34,29,1,,,,,
1.1,left,1,,,,,,stim/centre.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6666,,,0,35,35,2,1,,,,,
1.55,right,1,,,,,,stim/blank.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6329,,,0,36,36,7,1,,,,,
0.45,right,1,,,,,,stim/centre.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7826,,,0,37,37,10,1,,,,,
0.4,right,1,,,,,,stim/both.png,stim/neutralRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7551,,,0,38,38,41,1,,,,,
1.2,right,1,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.668,,,0,39,39,36,1,,,,,
1.3,left,1,,,,,,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7506,,,0,40,40,16,1,,,,,
0.55,left,1,,,,,,stim/blank.png,stim/neutralRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7175,,,0,41,41,47,1,,,,,
0.95,right,1,,,,,,stim/blank.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5332,,,0,42,42,11,1,,,,,
1.25,right,1,,,,,,stim/both.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.735,,,0,43,43,5,1,,,,,
0.85,left,1,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6683,,,0,44,44,35,1,,,,,
0.5,left,1,,,,,,stim/lower.png,stim/congRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7505,,,0,45,45,12,1,,,,,
0.9,left,1,,,,,,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7179,,,0,46,46,19,1,,,,,
0.8,right,1,,,,,,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.854,,,0,47,47,22,1,,,,,
1.5,right,1,,,,,,stim/blank.png,stim/neutralRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7021,,,1,0,48,43,1,,,,,
0.65,right,1,,,,,,stim/centre.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6339,,,1,1,49,26,1,,,,,
0.5,right,1,,,,,,stim/blank.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6684,,,1,2,50,27,1,,,,,
0.75,right,1,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7202,,,1,3,51,38,1,,,,,
1.2,right,1,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5514,,,1,4,52,36,1,,,,,
1.2,right,1,,,,,,stim/upper.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6682,,,1,5,53,24,1,,,,,
0.85,right,1,,,,,,stim/both.png,stim/incongRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6046,,,1,6,54,25,1,,,,,
0.45,right,1,,,,,,stim/centre.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7388,,,1,7,55,22,1,,,,,
1.35,left,1,,,,,,stim/centre.png,stim/congRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6673,,,1,8,56,14,1,,,,,
1.55,right,1,,,,,,stim/both.png,stim/neutralLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5465,,,1,9,57,37,1,,,,,
0.8,left,1,,,,,,stim/blank.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6502,,,1,10,58,3,1,,,,,
0.5,right,1,,,,,,stim/centre.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5675,,,1,11,59,10,1,,,,,
1.55,left,1,,,,,,stim/centre.png,stim/incongRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7699,,,1,12,60,30,1,,,,,
1.2,left,1,,,,,,stim/centre.png,stim/neutralRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6657,,,1,13,61,46,1,,,,,
0.9,left,1,,,,,,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7674,,,1,14,62,19,1,,,,,
1.25,left,1,,,,,,stim/lower.png,stim/incongRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7154,,,1,15,63,28,1,,,,,
0.85,left,1,,,,,,stim/both.png,stim/neutralLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6528,,,1,16,64,33,1,,,,,
0.8,right,1,,,,,,stim/upper.png,stim/neutralRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6175,,,1,17,65,40,1,,,,,
