,group,condition,subject,phase,trial,target,hand_angle,error,movement_time,reaction_time,peak_velocity,rot_direction,rot
4095,0,1,2,Adaptation,224,0,23.30095,-6.69905,1054.637001,882.2322629,,CCW,-30
6251,0,0,2,Generalisation,334,-60,3.98344207,3.98344207,,,,CCW,0
269,0,0,2,Base,27,150,5.39,5.39,0.661189,0.44180200000000003,0.13639400000000002,CCW,0
4096,0,1,2,Adaptation,225,0,22.604570000000002,-7.39543,1039.758885,590.900115,,CCW,-30
6252,0,0,2,Generalisation,335,-150,7.156130305,7.156130305,,,,CCW,0
391,0,1,2,Base,28,-150,-5.38,-5.38,0.8172229999999999,0.49827,0.00954981,CCW,0
4097,0,1,2,Adaptation,226,0,24.6826,-5.3174,1025.56185,533.5496973999999,,CCW,-30
6253,0,0,2,Generalisation,336,30,12.34074437,12.34074437,,,,CCW,0
278,0,0,2,Base,29,-30,-4.81,-4.81,0.9652940000000001,0.390214,0.262941,CCW,0
4098,0,1,2,Adaptation,227,0,25.77471,-4.22529,1045.5201550000002,703.131015,,CCW,-30
6254,0,0,2,Generalisation,337,150,6.516414297000001,6.516414297000001,,,,CCW,0
330,0,1,2,Base,30,0,0.10400000000000001,0.10400000000000001,1.04488,0.328993,0.145438,CCW,0
4099,0,1,2,Adaptation,228,0,18.3766,-11.6234,1048.567278,522.1827394999999,,CCW,-30
6255,0,0,2,Generalisation,338,0,20.71540712,20.71540712,,,,CCW,0
234,0,0,2,Base,31,90,-8.5,-8.5,1.2296200000000002,0.374743,0.171158,CCW,0
4100,0,1,2,Adaptation,229,0,31.02014,1.02014,990.4712936000001,568.3957881,,CCW,-30
6256,0,0,2,Generalisation,339,-30,12.42409576,12.42409576,,,,CCW,0
360,0,1,2,Base,32,150,-7.6,-7.6,0.656137,0.7481270000000001,0.029303199999999998,CCW,0
4101,0,1,2,Adaptation,230,0,16.0266,-13.9734,1083.230441,610.0578182999999,,CCW,-30
6257,0,0,2,Generalisation,340,-90,4.214667994,4.214667994,,,,CCW,0
286,0,0,2,Base,33,-60,-9.26,-9.26,1.11389,0.316971,0.171181,CCW,0
4102,0,1,2,Adaptation,231,0,30.236304999999998,0.23630500000000002,1084.656925,467.7219291999999,,CCW,-30
6258,0,0,2,Generalisation,341,90,4.606478356,4.606478356,,,,CCW,0
252,0,0,2,Base,34,120,-6.98,-6.98,1.34065,0.610297,0.1737,CCW,0
4103,0,1,2,Adaptation,232,0,22.81571,-7.18429,950.9659295,626.4982924999999,,CCW,-30
6259,0,0,2,Generalisation,342,60,7.97449372,7.97449372,,,,CCW,0
324,0,0,2,Base,35,-150,-1.82,-1.82,0.629872,0.317127,0.145871,CCW,0
4104,0,1,2,Adaptation,233,0,17.5326,-12.4674,1237.105991,721.3179211,,CCW,-30
6260,0,0,2,Generalisation,343,60,6.82356246,6.82356246,,,,CCW,0
293,0,0,2,Base,36,-60,-5.62,-5.62,0.964405,0.413526,0.112042,CCW,0
4105,0,1,2,Adaptation,234,0,26.24695,-3.75305,995.6930675000001,377.6834159,,CCW,-30
6261,0,0,2,Generalisation,344,-90,3.368065473,3.368065473,,,,CCW,0
327,0,0,2,Base,37,-150,2.01,2.01,1.04659,0.405393,0.132667,CCW,0
4106,0,1,2,Adaptation,235,0,32.97654,2.97654,898.6708851,345.11638439999996,,CCW,-30
6262,0,0,2,Generalisation,345,120,5.152585623,5.152585623,,,,CCW,0
218,0,0,2,Base,38,30,4.03,4.03,1.18698,0.496938,0.293527,CCW,0
4107,0,1,2,Adaptation,236,0,19.2417,-10.7583,982.5252376,495.9110446,,CCW,-30
6263,0,0,2,Generalisation,346,90,3.152844289,3.152844289,,,,CCW,0
379,0,1,2,Base,39,-90,-4.04,-4.04,0.935944,0.571297,0.0988158,CCW,0
4108,0,1,2,Adaptation,237,0,25.893710000000002,-4.10629,863.5284036,378.287643,,CCW,-30
6264,0,0,2,Generalisation,347,-120,4.785699004,4.785699004,,,,CCW,0
380,0,1,2,Base,40,-90,-3.5,-3.5,0.810184,0.551157,0.19775399999999999,CCW,0
4109,0,1,2,Adaptation,238,0,25.94162,-4.0583800000000005,1078.606019,675.7897628,,CCW,-30
6265,0,0,2,Generalisation,348,-150,4.8547845060000006,4.8547845060000006,,,,CCW,0
305,0,0,2,Base,41,-90,-4.62,-4.62,0.779341,0.482544,0.060292899999999996,CCW,0
4110,0,1,2,Adaptation,239,0,23.36676,-6.63324,885.3617662,225.3536683,,CCW,-30
6266,0,0,2,Generalisation,349,60,7.556531074,7.556531074,,,,CCW,0
365,0,1,2,Base,42,150,4.19,4.19,1.0228700000000002,0.327016,0.180037,CCW,0
4111,0,1,2,Adaptation,240,0,20.27735,-9.72265,1246.1034,533.9839321999999,,CCW,-30
6267,0,0,2,Generalisation,350,120,2.420729481,2.420729481,,,,CCW,0
350,0,1,2,Base,43,90,-12.6,-12.6,1.30964,0.465236,0.20729099999999998,CCW,0
4112,0,1,2,Adaptation,241,0,17.7743,-12.2257,782.0742042,597.4597127999999,,CCW,-30
6268,0,0,2,Generalisation,351,30,17.944142199999998,17.944142199999998,,,,CCW,0
309,0,0,2,Base,44,-120,1.27,1.27,0.787723,0.602065,0.0634141,CCW,0
4113,0,1,2,Adaptation,242,0,24.730829999999997,-5.26917,895.5569774,378.9944332,,CCW,-30
6269,0,0,2,Generalisation,352,60,5.116030024,5.116030024,,,,CCW,0
274,0,0,2,Base,45,-30,-3.86,-3.86,0.802995,0.39116300000000004,0.149948,CCW,0
4114,0,1,2,Adaptation,243,0,25.53186,-4.46814,771.5053757999999,590.1390418,,CCW,-30
6270,0,0,2,Generalisation,353,-30,11.4208724,11.4208724,,,,CCW,0
285,0,0,2,Base,46,-60,-10.9,-10.9,0.98365,0.389276,0.17364200000000002,CCW,0
4115,0,1,2,Adaptation,244,0,27.76555,-2.23445,1049.132378,550.0400187999999,,CCW,-30
6271,0,0,2,Generalisation,354,-30,12.05004575,12.05004575,,,,CCW,0
325,0,0,2,Base,47,-150,-3.14,-3.14,0.954715,0.901256,0.184175,CCW,0
4116,0,1,2,Adaptation,245,0,33.972570000000005,3.9725699999999997,1017.344908,486.8832822,,CCW,-30
6272,0,0,2,Generalisation,355,30,14.216445000000002,14.216445000000002,,,,CCW,0
316,0,0,2,Base,48,-120,-7.37,-7.37,1.1416600000000001,0.320823,0.21857100000000002,CCW,0
4117,0,1,2,Adaptation,246,0,24.46542,-5.53458,854.9192381000001,751.9007834,,CCW,-30
6273,0,0,2,Generalisation,356,-30,15.93489049,15.93489049,,,,CCW,0
296,0,0,2,Base,49,-90,-3.55,-3.55,1.1717,0.39114699999999997,0.136363,CCW,0
