fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.85,left,1,0.9173,,,,,,stim/centre.png,stim/incongRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,16,16,30,1,,,,,
0.45,right,1,0.6833,,,,,,stim/both.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,17,17,5,1,,,,,
1.1,right,1,1.1695,,,,,,stim/blank.png,stim/congRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,18,18,11,1,,,,,
0.8,right,1,0.7644,,,,,,stim/lower.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,19,19,20,1,,,,,
0.85,right,1,0.5351,,,,,,stim/lower.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,20,20,4,1,,,,,
1.2,left,1,0.6366,,,,,,stim/both.png,stim/neutralRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,21,21,45,1,,,,,
1.4,right,1,0.7143,,,,,,stim/upper.png,stim/neutralRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,22,22,40,1,,,,,
0.9,right,1,0.8643,,,,,,stim/both.png,stim/incongRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,23,23,25,1,,,,,
0.7,right,1,0.6537,,,,,,stim/blank.png,stim/neutralRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,24,24,43,1,,,,,
1.45,right,1,0.7147,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,25,25,39,1,,,,,
0.95,right,1,0.7305,,,,,,stim/both.png,stim/congRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,26,26,9,1,,,,,
0.55,right,1,1.2262,,,,,,stim/upper.png,stim/incongRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,27,27,24,1,,,,,
0.9,left,1,0.6565,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,28,28,35,1,,,,,
1.4,left,1,0.8064,,,,,,stim/upper.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,29,29,16,1,,,,,
0.65,left,1,0.7862,,,,,,stim/lower.png,stim/incongRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,30,30,28,1,,,,,
0.95,left,1,0.6477,,,,,,stim/both.png,stim/neutralLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,31,31,33,1,,,,,
1.55,right,1,0.7087,,,,,,stim/blank.png,stim/incongRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,32,32,27,1,,,,,
0.5,,0,,,,,,,stim/lower.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,33,33,12,1,,,,,
1.15,left,1,0.743,,,,,,stim/blank.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,34,34,15,1,,,,,
1.4,right,1,0.7033,,,,,,stim/centre.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,35,35,6,1,,,,,
1.05,left,1,0.7215,,,,,,stim/upper.png,stim/congLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,36,36,0,1,,,,,
1.35,left,1,0.6015,,,,,,stim/both.png,stim/congLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,37,37,1,1,,,,,
1.45,right,1,0.6881,,,,,,stim/both.png,stim/neutralLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,38,38,37,1,,,,,
1.25,left,1,0.5196,,,,,,stim/centre.png,stim/neutralRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,39,39,46,1,,,,,
0.85,right,1,0.7265,,,,,,stim/both.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,40,40,21,1,,,,,
0.75,left,1,0.8139,,,,,,stim/blank.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,41,41,19,1,,,,,
0.55,right,1,0.6507,,,,,,stim/upper.png,stim/congRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,42,42,8,1,,,,,
0.7,left,1,0.5511,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,43,43,32,1,,,,,
0.45,right,1,0.7188,,,,,,stim/blank.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,44,44,7,1,,,,,
0.55,left,1,0.7385,,,,,,stim/centre.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,45,45,18,1,,,,,
1.05,left,1,0.8695,,,,,,stim/centre.png,stim/congRight.png,left,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,46,46,14,1,,,,,
1.55,right,1,1.0895,,,,,,stim/blank.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,0,47,47,23,1,,,,,
0.8,left,1,0.6641,,,,,,stim/blank.png,stim/congLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,0,48,3,1,,,,,
0.75,right,1,0.7058,,,,,,stim/centre.png,stim/neutralRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,1,49,42,1,,,,,
1.45,right,1,0.6871,,,,,,stim/blank.png,stim/incongRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,2,50,27,1,,,,,
1.55,right,1,0.6852,,,,,,stim/centre.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,3,51,6,1,,,,,
1,right,1,0.6585,,,,,,stim/lower.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,4,52,20,1,,,,,
1.3,left,1,0.6211,,,,,,stim/both.png,stim/neutralLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,5,53,33,1,,,,,
1.3,right,1,0.6354,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,6,54,39,1,,,,,
1.25,right,1,0.7056,,,,,,stim/blank.png,stim/neutralRight.png,right,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,7,55,43,1,,,,,
0.6,left,1,0.6666,,,,,,stim/upper.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,8,56,16,1,,,,,
0.7,right,1,0.6926,,,,,,stim/lower.png,stim/congLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,9,57,4,1,,,,,
1.1,right,1,0.6639,,,,,,stim/blank.png,stim/incongLeft.png,right,180,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,10,58,23,1,,,,,
1.45,left,1,0.721,,,,,,stim/both.png,stim/incongLeft.png,left,0,01,001,2022-04-23_07h58.08.212,ANT,2021.2.3,Win32,60.39376736,,,1,11,59,17,1,,,,,
