fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.1,left,1,0.657999992,,,,,,,stim/blank.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,3,1,95
0.4,left,1,0.608999968,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,18,1,95
1.1,left,1,0.559999943,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,44,1,95
1.45,left,1,0.858999968,,,,,,,stim/both.png,stim/incongLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,17,1,95
0.9,right,1,0.625,,,,,,,stim/blank.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,7,1,95
1.05,right,1,0.507999897,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,43,1,95
0.75,right,1,0.458999872,,,,,,,stim/both.png,stim/neutralRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,41,1,95
0.6,left,1,0.474999905,,,,,,,stim/upper.png,stim/incongLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,16,1,95
1,right,1,0.559000015,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,36,1,95
0.4,right,0,0.441999912,,,,,,,stim/lower.png,stim/incongRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,28,1,95
1.1,left,1,0.625999928,,,,,,,stim/lower.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,12,1,95
1.35,right,1,0.508000135,,,,,,,stim/both.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,5,1,95
0.95,left,1,0.523999929,,,,,,,stim/centre.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,2,1,95
1.3,left,1,0.57400012,,,,,,,stim/both.png,stim/incongRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,29,1,95
1.25,right,1,0.64199996,,,,,,,stim/both.png,stim/incongRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,25,1,95
1.05,left,1,0.490999937,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,32,1,95
0.55,left,1,0.490999937,,,,,,,stim/centre.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,14,1,95
0.6,right,1,0.508000135,,,,,,,stim/lower.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,4,1,95
1.45,right,1,0.476000071,,,,,,,stim/both.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,9,1,95
0.65,left,1,0.491999865,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,34,1,95
1.15,right,0,0.457999945,,,,,,,stim/centre.png,stim/incongRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,30,1,95
1.05,left,1,0.40899992,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,33,1,95
1.1,right,1,0.442000151,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,39,1,95
1.45,right,1,1.141000032,,,,,,,stim/both.png,stim/incongLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,21,1,95
1.1,left,1,0.490999937,,,,,,,stim/both.png,stim/neutralRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,45,1,95
1.1,left,1,0.559000015,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,19,1,95
1.1,left,0,0.207999945,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,38,1,95
0.55,left,1,0.025000095,,,,,,,stim/blank.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,15,1,95
1.45,left,0,0.10800004,,,,,,,stim/upper.png,stim/incongRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,24,1,95
1.5,left,0,0.07400012,,,,,,,stim/centre.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,10,1,95
1.05,left,0,0.124000072,,,,,,,stim/centre.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,6,1,95
1.05,left,1,0.008000135,,,,,,,stim/both.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,13,1,95
0.4,right,1,0.025000095,,,,,,,stim/centre.png,stim/neutralRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,42,1,95
0.85,right,0,0.026000023,,,,,,,stim/blank.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,15,1,95
1.35,left,0,0.073999882,,,,,,,stim/blank.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,7,1,95
1.1,left,1,0.207999945,,,,,,,stim/blank.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,3,1,95
