fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
0.4,right,1,0.4178,0,10,10,7,1,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.45,right,1,0.5484,0,11,11,20,1,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.3,right,1,0.4182,0,12,12,9,1,stim/both.png,stim/congRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.6,right,1,0.4998,0,13,13,4,1,stim/lower.png,stim/congLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.5,left,1,0.5646,0,14,14,17,1,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.45,right,1,0.4143,0,15,15,6,1,stim/centre.png,stim/congLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.15,right,1,0.5591,0,16,16,21,1,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.4,,0,,0,17,17,0,1,stim/upper.png,stim/congLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.5,right,1,0.4504,0,18,18,10,1,stim/centre.png,stim/congRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.05,right,1,0.4896,0,19,19,5,1,stim/both.png,stim/congLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.45,left,1,0.406,0,20,20,14,1,stim/centre.png,stim/congRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
1.3,left,1,0.408,0,21,21,2,1,stim/centre.png,stim/congLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.85,right,0,0.4531,0,22,22,16,1,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.85,left,1,0.6842,0,23,23,18,1,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,
0.4,left,1,0.4726,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,space,15.0661,0,0,0,35,1,,,,,,,
0.4,left,1,0.4837,,,,,,stim/upper.png,stim/congLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,1,1,0,1,,,,,,,
0.75,right,1,0.4753,,,,,,stim/upper.png,stim/neutralRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,2,2,40,1,,,,,,,
0.9,right,1,0.4674,,,,,,stim/blank.png,stim/neutralRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,3,3,43,1,,,,,,,
0.75,right,1,0.5174,,,,,,stim/both.png,stim/neutralLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,4,4,37,1,,,,,,,
0.85,right,1,0.4332,,,,,,stim/blank.png,stim/congRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,5,5,11,1,,,,,,,
0.55,right,1,0.5674,,,,,,stim/both.png,stim/incongRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,6,6,25,1,,,,,,,
0.75,left,1,0.4337,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,7,7,13,1,,,,,,,
0.8,right,1,0.4002,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,8,8,38,1,,,,,,,
1.45,left,1,0.4028,,,,,,stim/both.png,stim/congLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,9,9,1,1,,,,,,,
1.25,right,1,0.5592,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,10,10,23,1,,,,,,,
0.95,right,0,0.4074,,,,,,stim/both.png,stim/incongRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,11,11,29,1,,,,,,,
1.35,right,1,0.4006,,,,,,stim/lower.png,stim/congLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,12,12,4,1,,,,,,,
1.1,right,0,0.4168,,,,,,stim/both.png,stim/incongLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,13,13,17,1,,,,,,,
0.95,left,1,0.4507,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,14,14,32,1,,,,,,,
1.25,right,1,0.4176,,,,,,stim/centre.png,stim/neutralRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,15,15,42,1,,,,,,,
0.95,right,1,0.422,,,,,,stim/centre.png,stim/congLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,16,16,6,1,,,,,,,
1.2,left,0,0.5179,,,,,,stim/both.png,stim/incongLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,17,17,21,1,,,,,,,
0.8,right,1,0.5669,,,,,,stim/blank.png,stim/incongRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,18,18,27,1,,,,,,,
1.3,right,1,0.4664,,,,,,stim/blank.png,stim/congLeft.png,right,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,19,19,7,1,,,,,,,
0.95,right,0,0.5026,,,,,,stim/blank.png,stim/incongLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,20,20,19,1,,,,,,,
0.55,left,1,0.5168,,,,,,stim/blank.png,stim/congLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,21,21,3,1,,,,,,,
0.45,left,1,0.6061,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,22,22,34,1,,,,,,,
0.9,left,0,0.5175,,,,,,stim/centre.png,stim/incongRight.png,right,0,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,23,23,26,1,,,,,,,
1.45,,0,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,24,24,46,1,,,,,,,
0.55,,0,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,25,25,44,1,,,,,,,
0.8,,,,,,,,,stim/lower.png,stim/congRight.png,left,180,,001,2022-02-15_15h28.54.860,ANT,2021.2.3,Win32,59.1401029,,,0,26,26,12,1,0,0,0,0,1,2,95
