fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.4,right,1,0.9461,,,,,,stim/upper.png,stim/incongRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,17,17,24,1,,,,,
1,right,1,0.5188,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,18,18,39,1,,,,,
1,left,1,0.5772,,,,,,stim/both.png,stim/neutralRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,19,19,45,1,,,,,
1.25,right,1,0.5823,,,,,,stim/both.png,stim/incongLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,20,20,21,1,,,,,
0.5,right,1,0.6889,,,,,,stim/lower.png,stim/incongLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,21,21,20,1,,,,,
0.65,right,1,0.5099,,,,,,stim/centre.png,stim/incongLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,22,22,22,1,,,,,
1.25,right,1,0.401,,,,,,stim/centre.png,stim/congLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,23,23,6,1,,,,,
1.45,left,1,0.5599,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,24,24,34,1,,,,,
0.5,right,0,0.4848,,,,,,stim/lower.png,stim/congRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,25,25,12,1,,,,,
0.4,left,1,0.8118,,,,,,stim/lower.png,stim/incongRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,26,26,28,1,,,,,
1.2,right,1,0.4497,,,,,,stim/both.png,stim/congRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,27,27,9,1,,,,,
0.85,left,1,0.7565,,,,,,stim/blank.png,stim/congRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,28,28,15,1,,,,,
1.35,left,1,0.4859,,,,,,stim/centre.png,stim/congRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,29,29,14,1,,,,,
1.45,left,1,0.5064,,,,,,stim/upper.png,stim/congLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,30,30,0,1,,,,,
0.8,left,1,0.6866,,,,,,stim/blank.png,stim/congLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,31,31,3,1,,,,,
1.35,left,1,0.961,,,,,,stim/lower.png,stim/neutralRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,32,32,44,1,,,,,
1.55,left,1,0.418,,,,,,stim/both.png,stim/congRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,33,33,13,1,,,,,
1.55,right,1,0.9503,,,,,,stim/blank.png,stim/congLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,34,34,7,1,,,,,
1.35,left,1,1.3047,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,35,35,32,1,,,,,
